num_servers 4
let num_jobs = if rho < 0.85 {
        1e7
    } else {
        1e8
    } as usize;
E[s] 4, E[service] 1.75, dist [(1, 0.5, 0.5), (4, 0.6666666666666666, 0.5)]
E[s] 4, E[service] 3.25, dist [(1, 0.16666666666666666, 0.5), (4, 2.0, 0.5)]
rho;ServerFilling s_1 < s_4;FCFS s_1 < s_4;MaxWeight s_1 < s_4;LeastServersFirst s_1 < s_4;MostServersFirst s_1 < s_4;ServerFilling s_4 < s_1;FCFS s_4 < s_1;MaxWeight s_4 < s_1;LeastServersFirst s_4 < s_1;MostServersFirst s_4 < s_1;
0.01;1.7682452655587144;1.7709294371604136;1.7727575213501132;1.7727575213501132;1.7682452655587144;3.25623512202828;3.341255185231088;3.3466672691774857;3.346668093642257;3.256234834442795;
0.05;1.847693765791903;1.8652880200188406;1.8728982323453367;1.8729050015342916;1.8476943398925856;3.2918422017921207;3.771216754482217;3.765841385175182;3.766765993847346;3.291824856835474;
0.1;1.9567461911784698;2.0036931789411754;2.0148365473652405;2.0149544748285253;1.9567567419290544;3.3377515117028773;4.458236278171065;4.339158087938821;4.35403452232859;3.3375801203956956;
0.15;2.077884225599318;2.1701761413849456;2.180167250105936;2.181050960861228;2.0779872465792755;3.3862376136958248;5.3877867263597805;4.953902182350183;5.029204211656457;3.3854037623675324;
0.2;2.2133744085879146;2.3726128382960057;2.375224266547364;2.379019715465612;2.2138719620083243;3.438880217270927;6.720430296657311;5.594334388449129;5.828788192247657;3.4363005522105463;
0.25;2.365287644800709;2.62337204205523;2.6064674695722383;2.6196652933488784;2.3669441299098857;3.4979145330235855;8.791610835600286;6.243745696618957;6.801802126648834;3.491715919689402;
0.3;2.536489543377001;2.9404151328047825;2.8817385348178104;2.919742887121498;2.5411705537463103;3.5664671143300293;12.471870186116414;6.892802774189136;8.020833918225492;3.553569144548601;
0.35;2.729930192908069;3.353885415808062;3.2104012980737746;3.3068771584771244;2.7410793178151835;3.648753317377594;20.89812784205769;7.539234617088566;9.6387693707352;3.6246888221177085;
0.4;2.9511646612864926;3.911836942944938;3.6026969270520017;3.830121524818705;2.975198008266965;3.7499265980045573;60.151011065736625;8.19067819564862;11.940095190409881;3.708425827158341;
0.45;3.2055473442499207;4.704726829107884;4.067710065613051;4.57796632782486;3.253774586157064;3.87682006159233;inf;8.858281876753932;15.523776571970057;3.8092278485350013;
0.5;3.501915746697338;5.918904539261501;4.616198513804149;5.737622672340835;3.591689971413438;4.039050260386512;inf;9.549555171778879;22.04469019035963;3.9335197040211276;
0.55;3.8522394763800336;7.99868715006667;5.261368934959249;7.788933481983513;4.011201249049741;4.249529805411718;inf;10.284555826911316;38.08923381820587;4.089708346281138;
0.6;4.274396881504323;12.336052617259446;6.01778159522368;12.446993230359732;4.545624199992763;4.527806736034163;inf;11.086812797467928;151.91945493480364;4.290797507841262;
0.65;4.799944965187893;27.01486910603857;6.907402353001727;33.23092668376468;5.254923979138893;4.90440112744677;inf;11.99930180157339;inf;4.557353001475709;
0.7;5.474576477823631;inf;7.962590489172208;inf;6.22299281120144;5.429679321907518;inf;13.084760094680188;inf;4.92299057519666;
0.72;5.80371384511376;inf;8.442392628631827;inf;6.717408566281636;5.699362959295848;inf;13.592711987562728;inf;5.108887336042693;
0.74;6.178801552277979;inf;8.96005714227336;inf;7.29663545060886;6.014503219448595;inf;14.161797149442542;inf;5.324942143399724;
0.76;6.6111430922924255;inf;9.526224802754248;inf;7.982068147442805;6.3855625026731415;inf;14.801682780644047;inf;5.578105692980416;
0.78;7.115461552677742;inf;10.151347109720602;inf;8.802483820154116;6.828294387202905;inf;15.540666996275991;inf;5.878909142484338;
0.8;7.713799550669272;inf;10.847904957501658;inf;9.804260480083201;7.363782161781785;inf;16.4024655000161;inf;6.241504725163418;
0.82;8.435984781767774;inf;11.637884501504;inf;11.04129808383943;8.022693748063036;inf;17.434877446125206;inf;6.686168815672472;
0.84;9.326161106183152;inf;12.549753625388417;inf;12.599235536033174;8.85393172077347;inf;18.712287474887557;inf;7.245738874877316;
0.86;10.500391259992464;inf;13.686762068873005;inf;14.717614026125121;9.969723957004858;inf;20.39435314813493;inf;7.996545987381065;
0.88;12.024263014577532;inf;15.076330466665572;inf;17.515894855697834;11.42991962737965;inf;22.550597844469653;inf;8.975405291512109;
0.9;14.146627363494185;inf;16.913897549453903;inf;21.493820809178544;13.484546962293374;inf;25.548001299300875;inf;10.350448172305816;
0.903;14.539871791132496;inf;17.246692837822344;inf;22.23914535253806;13.866737997773907;inf;26.10154986769996;inf;10.60603231833238;
0.906;14.958400404222557;inf;17.59803797642664;inf;23.03417158570123;14.273058705283711;inf;26.691289152184392;inf;10.877697826443091;
0.91;15.559778237199657;inf;18.098796318278673;inf;24.1805968582755;14.85623228003751;inf;27.537242100795673;inf;11.267497298488212;
0.913;16.046334312499376;inf;18.503000207588126;inf;25.111452189238644;15.328903413027708;inf;28.2187971887936;inf;11.583427222370034;
0.916;16.567607475518628;inf;18.932751961330016;inf;26.110173859664283;15.835543694727757;inf;28.951658823109636;inf;11.921989907713561;
0.92;17.323884864950397;inf;19.552590940846557;inf;27.56474530746983;16.571592794839958;inf;30.014672703739684;inf;12.413686910349222;
0.923;17.942666737533816;inf;20.057045721655058;inf;28.758326061157895;17.174776881984418;inf;30.884438103281976;inf;12.816585804262997;
0.926;18.611858040136784;inf;20.59858045111885;inf;30.05159363054034;17.828178928565723;inf;31.82605567750066;inf;13.252900795477846;
0.93;19.592904122545054;inf;21.38841138060706;inf;31.951519214366435;18.789420653929337;inf;33.20889864926654;inf;13.894688700395491;
0.933;20.405175546813265;inf;22.040127138480557;inf;33.52941794842087;19.5874879582102;inf;34.35551609600633;inf;14.42760710089705;
0.936;21.29467369602036;inf;22.749928270525185;inf;35.26152633635316;20.459095464547406;inf;35.60805015737225;inf;15.009462594199602;
0.94;22.61799056233278;inf;23.800842895714073;inf;37.843554506569255;21.75861415699119;inf;37.4721390549993;inf;15.87692011185804;
0.943;23.727965002695065;inf;24.67959994702992;inf;40.01374574789469;22.85425369017959;inf;39.04469534510242;inf;16.608093191647132;
0.946;24.961803241918133;inf;25.654290242709273;inf;42.433032618094465;24.06931851825961;inf;40.78835845515293;inf;17.418831187932533;
0.95;26.83246198110083;inf;27.129688323186976;inf;46.1067972565282;25.914677205749854;inf;43.432694065373326;inf;18.64985540869461;
0.953;28.444213443948087;inf;28.39611619234448;inf;49.280036134593935;27.504994173565898;inf;45.70930275790431;inf;19.710638288394488;
0.956;30.275569040777782;inf;29.829105543614357;inf;52.891635720131724;29.316075528294547;inf;48.30332284722513;inf;20.918741332558913;
0.96;33.149083796981614;inf;32.068305252103826;inf;58.57126878985104;32.1508519669769;inf;52.36211853681762;inf;22.80977237353119;
