num_jobs 10000000, num_servers 4
E[s] 4, E[service] 1.75, dist [(1, 0.5, 0.5), (4, 0.6666666666666666, 0.5)]
E[s] 4, E[service] 3.25, dist [(1, 0.16666666666666666, 0.5), (4, 2.0, 0.5)]
rho;ServerFilling s_1 < s_4;FCFS s_1 < s_4;MaxWeight s_1 < s_4;LeastServersFirst s_1 < s_4;MostServersFirst s_1 < s_4;ServerFilling s_4 < s_1;FCFS s_4 < s_1;MaxWeight s_4 < s_1;LeastServersFirst s_4 < s_1;MostServersFirst s_4 < s_1;
0.01;1.7682452655587144;1.7709294371604136;1.7727575213501132;1.7727575213501132;1.7682452655587144;3.25623512202828;3.341255185231088;3.3466680048306596;3.346668093642257;3.256234834442795;
0.05;1.847693765791903;1.8652880200188406;1.8729012462368642;1.8729050015342916;1.8476943398925856;3.2918422017921207;3.771216754482217;3.7658473778429;3.766765993847346;3.291824856835474;
0.1;1.9567461911784698;2.0036931789411754;2.014836618904866;2.0149544748285253;1.9567567419290544;3.3377515117028773;4.458236278171065;4.339126976032976;4.35403452232859;3.3375801203956956;
0.15;2.077884225599318;2.1701761413849456;2.1801879386911165;2.181050960861228;2.0779872465792755;3.3862376136958248;5.3877867263597805;4.953751662471154;5.029204211656457;3.3854037623675324;
0.2;2.2133744085879146;2.3726128382960057;2.3751821428806688;2.379019715465612;2.2138719620083243;3.438880217270927;6.720430296657311;5.594788846201645;5.828788192247657;3.4363005522105463;
0.25;2.365287644800709;2.62337204205523;2.606518035054217;2.6196652933488784;2.3669441299098857;3.4979145330235855;8.791610835600286;6.244080455822831;6.801802126648834;3.491715919689402;
0.3;2.536489543377001;2.9404151328047825;2.8819418374512917;2.919742887121498;2.5411705537463103;3.5664671143300293;12.471870186116414;6.892099961404252;8.020833918225492;3.553569144548601;
0.35;2.729930192908069;3.353885415808062;3.2104983808056855;3.3068771584771244;2.7410793178151835;3.648753317377594;20.89812784205769;7.53902831703133;9.6387693707352;3.6246888221177085;
0.4;2.9511646612864926;3.911836942944938;3.6025905074469864;3.830121524818705;2.975198008266965;3.7499265980045573;60.151011065736625;8.19045312573809;11.940095190409881;3.708425827158341;
0.45;3.2055473442499207;4.704726829107884;4.06810413731472;4.57796632782486;3.253774586157064;3.87682006159233;inf;8.857331446015637;15.523776571970057;3.8092278485350013;
0.5;3.501915746697338;5.918904539261501;4.616734805022106;5.737622672340835;3.591689971413438;4.039050260386512;inf;9.54971151474635;22.04469019035963;3.9335197040211276;
0.55;3.8522394763800336;7.99868715006667;5.260819024824316;7.788933481983513;4.011201249049741;4.249529805411718;inf;10.284262749588118;38.08923381820587;4.089708346281138;
0.6;4.274396881504323;12.336052617259446;6.017987473016425;12.446993230359732;4.545624199992763;4.527806736034163;inf;11.08754787888814;151.91945493480364;4.290797507841262;
0.65;4.799944965187893;27.01486910603857;6.90761350984398;33.23092668376468;5.254923979138893;4.90440112744677;inf;11.999174177862782;inf;4.557353001475709;
0.7;5.474576477823631;inf;7.962358303850666;inf;6.22299281120144;5.429679321907518;inf;13.085183884162102;inf;4.92299057519666;
0.72;5.80371384511376;inf;8.440542288086677;inf;6.717408566281636;5.699362959295848;inf;13.593568098008763;inf;5.108887336042693;
0.74;6.178801552277979;inf;8.959921982336033;inf;7.29663545060886;6.014503219448595;inf;14.160070327061435;inf;5.324942143399724;
0.76;6.6111430922924255;inf;9.526698437379881;inf;7.982068147442805;6.3855625026731415;inf;14.802457522035894;inf;5.578105692980416;
0.78;7.115461552677742;inf;10.151660882210994;inf;8.802483820154116;6.828294387202905;inf;15.540531779856789;inf;5.878909142484338;
0.8;7.713799550669272;inf;10.848471937362167;inf;9.804260480083201;7.363782161781785;inf;16.40303604489305;inf;6.241504725163418;
0.82;8.435984781767774;inf;11.636973037280685;inf;11.04129808383943;8.022693748063036;inf;17.43774140257294;inf;6.686168815672472;
0.84;9.326161106183152;inf;12.551496398782705;inf;12.599235536033174;8.85393172077347;inf;18.709268747201435;inf;7.245738874877316;
0.86;10.46017802600871;inf;13.64701234183287;inf;14.632844852573646;9.929172567924708;inf;20.331851023986427;inf;7.967970940713635;
0.88;11.960801505248243;inf;15.016866333340948;inf;17.382380219751322;11.360961958928012;inf;22.448279589911685;inf;8.927811440968433;
0.9;14.027452568176232;inf;16.81100500772841;inf;21.25015436745617;13.363874716369741;inf;25.37046792306123;inf;10.26797841946877;
0.903;14.407423411709834;inf;17.133484002981255;inf;21.968466499639074;13.735257152884245;inf;25.909405238756953;inf;10.516335892054558;
0.906;14.811063370440147;inf;17.473311886620092;inf;22.734465942001787;14.129795787769543;inf;26.48404215758277;inf;10.780035788160912;
0.91;15.388652938524181;inf;17.95482654029113;inf;23.83387683973553;14.694505415364366;inf;27.297904946663284;inf;11.157390404890213;
0.913;15.85475341329104;inf;18.34437594491162;inf;24.72466518799929;15.151993689361873;inf;27.95823815393657;inf;11.463143695419637;
0.916;16.35303140643697;inf;18.753379698810928;inf;25.678559799996084;15.640798342227843;inf;28.663366914362918;inf;11.789927999864926;
0.92;17.073778260410585;inf;19.346522005471513;inf;27.062891787400883;16.349896602672462;inf;29.689912963844083;inf;12.263827879780258;
0.923;17.66241869346746;inf;19.826428288949455;inf;28.194606910630345;16.928161266438824;inf;30.519868863062996;inf;12.650445806754012;
0.926;18.301379983270976;inf;20.342733184554064;inf;29.42699400987835;17.551048978112103;inf;31.419446353813882;inf;13.066713854437252;
0.93;19.234246128170717;inf;21.096475219247864;inf;31.22901477925919;18.469129733650128;inf;32.745583198568475;inf;13.679916862984406;
0.933;20.00079234674932;inf;21.713612547220094;inf;32.71796646930243;19.232525915889745;inf;33.83852832145776;inf;14.190078898545757;
0.936;20.837284352649373;inf;22.380642247675308;inf;34.34522484633974;20.066683287768782;inf;35.04290177486536;inf;14.747216603470475;
0.94;22.084402194518358;inf;23.37217864241118;inf;36.77614386670639;21.305066813726878;inf;36.820888675878386;inf;15.574006368585492;
0.943;23.12984157084454;inf;24.199667815005053;inf;38.82192202529351;22.356488001629195;inf;38.33130773021361;inf;16.275743762246936;
0.946;24.289222010807134;inf;25.121295957943797;inf;41.09397797025312;23.523687671504582;inf;40.00974646719312;inf;17.054579476025634;
0.95;26.06800143877912;inf;26.52205896434729;inf;44.59306783111839;25.299940219070816;inf;42.548900955208616;inf;18.239948249960246;
0.953;27.620316283854507;inf;27.740927239115894;inf;47.65291402130974;26.831899942110542;inf;44.742930668333564;inf;19.261870599481703;
0.956;29.379162763765244;inf;29.132881854031016;inf;51.127248375290385;28.580197812201018;inf;47.25519555224504;inf;20.42821868750437;
0.96;32.17345617881229;inf;31.305405121738577;inf;56.656363508938064;31.327915219279575;inf;51.18099116903674;inf;22.261849445522678;
0.97;42.53212158164567;inf;39.35862039002759;inf;77.23345302705036;41.35489105867195;inf;65.52333703821601;inf;28.950595938523318;
0.973;47.09163299057515;inf;42.868379492587124;inf;86.30814100917459;45.79871474134648;inf;71.86416279348576;inf;31.91483405304055;
0.976;52.69749844485974;inf;47.19812435498143;inf;97.46737288040744;51.33123049041583;inf;79.77951968618758;inf;35.60291355583592;
0.98;62.8774585645335;inf;55.057776417637946;inf;117.7835692400063;60.95437846079435;inf;93.51567903970472;inf;42.01868555035557;
0.983;73.98066872864939;inf;63.631528765456544;inf;139.96365274745952;71.65870747102277;inf;108.79689881328746;inf;49.15874456606133;
0.986;89.50819496146558;inf;75.61011101996152;inf;170.99502398372022;87.58245710889321;inf;131.56584301791705;inf;59.781060016401824;
0.99;124.29057025617101;inf;102.27328516599425;inf;240.5485075917163;123.31236580711219;inf;182.53270814328215;inf;83.60573694003037;
0.993;179.60063231666456;inf;144.88242657412783;inf;351.1963177592964;179.54340970269328;inf;262.83929200090546;inf;121.1076534089272;
0.996;305.06206206028895;inf;241.36926630939536;inf;602.1517314789251;303.53833143097177;inf;440.09926219843;inf;203.766360275708;
