num_jobs 10000000, num_servers 4
E[s] 1, E[service] 0.4375, dist [(1, 2.0, 0.5), (4, 2.6666666666666665, 0.5)]
E[s] 1, E[service] 0.8125, dist [(1, 0.6666666666666666, 0.5), (4, 8.0, 0.5)]
rho;ServerFilling s_1 < s_4;FCFS s_1 < s_4;MaxWeight s_1 < s_4;LeastServersFirst s_1 < s_4;MostServersFirst s_1 < s_4;ServerFilling s_4 < s_1;FCFS s_4 < s_1;MaxWeight s_4 < s_1;LeastServersFirst s_4 < s_1;MostServersFirst s_4 < s_1;
0.01;0.4420613163896786;0.4427323592901034;0.4431893803375283;0.4431893803375283;0.4420613163896786;0.81405878050707;0.835313796307772;0.8366666705807698;0.8366670234105642;0.8140587086106987;
0.05;0.46192344144797576;0.46632200500471016;0.46822526105379697;0.4682262503835729;0.4619235849731464;0.8229605504480302;0.9428041886205543;0.9414616538126057;0.9416914984618365;0.8229562142088686;
0.1;0.48918654779461745;0.5009232947352938;0.5037125188018535;0.5037386187069927;0.4891891854822636;0.8344378779257193;1.1145590695427663;1.0847408522620394;1.0885086305821474;0.8343950300989239;
0.15;0.5194710563997578;0.5425440353461647;0.5450404022659731;0.5452627402151919;0.5194968116447471;0.8465594034238731;1.346946681589862;1.2384807342421915;1.257301052913685;0.8463509405918;
0.2;0.5533436021467086;0.5931532095738089;0.5938017959473484;0.5947549288662104;0.553467990501811;0.8597200543177318;1.6801075741643277;1.398659197357381;1.4571970480619143;0.8590751380526366;
0.25;0.591321911200103;0.6558430105137038;0.6516282394758289;0.6549163233364642;0.5917360324773971;0.8744786332557034;2.1979027089000716;1.5609851467414122;1.7004505316610306;0.8729289799221576;
0.3;0.6341223858440593;0.7351037832011229;0.7204561874046491;0.7299357217801068;0.6352926384363865;0.8916167785822365;3.1179675465288432;1.7231636023334633;2.0052084795562246;0.8883922861368794;
0.35;0.682482548226759;0.8384713539518226;0.8026315264420308;0.8267192896191522;0.6852698294535376;0.9121883293443985;5.224531960511771;1.8848771785207525;2.409692342683747;0.9061722055294271;
0.4;0.7377911653214051;0.9779592357361038;0.9007007734842163;0.9575303812045551;0.743799502066523;0.9374816495008323;15.037752766427678;2.0476499660096295;2.985023797602247;0.9271064567892783;
0.45;0.8013866667527958;1.1761817072765681;1.0168930436513588;1.1444915819531445;0.8134436465388324;0.9692050142062664;inf;2.2143601211361745;3.8809441429917366;0.9523069621334564;
0.5;0.8754789366741281;1.4797261348152388;1.1542363609004602;1.434405668084021;0.8979224928531532;1.009762565096327;inf;2.3873432817598528;5.5111725475897675;0.9833799260049805;
0.55;0.963059622338884;1.9996717875163954;1.3154716986980968;1.9472333704942308;1.0028003122618177;1.0623824392344627;inf;2.5710190574149525;9.52230845455126;1.022427086570029;
0.6;1.0685990474217963;3.084013154314273;1.5045304134294726;3.11174830758974;1.1364060499969457;1.1319516654917043;inf;2.7719333860426456;37.979863733684304;1.0726993769601363;
0.65;1.1999860753045772;6.753717276506958;1.7266101722354237;8.307731670878338;1.3137309947836942;1.2261002210158163;inf;2.9997858805048696;inf;1.1393382503678922;
0.7;1.3686437151916575;inf;1.9904419091339387;inf;1.5557482027976852;1.3574198304766159;inf;3.2711839802024443;inf;1.2307476437989011;
0.72;1.450928126857959;inf;2.110563451356701;inf;1.6793521415675896;1.4248407246726185;inf;3.398202574306406;inf;1.2772218340096042;
0.74;1.544700103752381;inf;2.240041895307474;inf;1.8241588626491274;1.5036257227145537;inf;3.5399826034042343;inf;1.331235535848704;
0.76;1.6527855109048621;inf;2.3817795239720976;inf;1.9955170368586135;1.5963905372594411;inf;3.7005572130095623;inf;1.3945264232441552;
0.78;1.7788649840178117;inf;2.5379374244761834;inf;2.2006209550358258;1.7070735218899193;inf;3.884997685889595;inf;1.4697272856195245;
0.8;1.9284493282808068;inf;2.711887924790736;inf;2.4510651200174776;1.840945528881277;inf;4.100724742846662;inf;1.5603761812902786;
0.82;2.1089955152400464;inf;2.909013666698689;inf;2.760324520953927;2.0056733235053184;inf;4.359010952023294;inf;1.6715422039134435;
0.84;2.3315401496660275;inf;3.1379926370114832;inf;3.1498088840055525;2.2134828783050224;inf;4.677435832128085;inf;1.8114347187184163;
0.86;2.6150443387763747;inf;3.4125636926344334;inf;3.6582112131399094;2.482293075996977;inf;5.082452742063359;inf;1.9919927351766638;
0.88;2.9901995917576363;inf;3.754151312943731;inf;4.345595054929334;2.8402404051271564;inf;5.612329995635308;inf;2.2319528602393084;
0.9;3.506862645581309;inf;4.20302239666998;inf;5.312538591845466;3.3409685478694784;inf;6.341872898086519;inf;2.566994604860978;
0.903;3.601855428355807;inf;4.28300085147929;inf;5.492116624900874;3.433814237490806;inf;6.4779177387176565;inf;2.629083973006949;
0.906;3.7027650114255852;inf;4.368124667650398;inf;5.683616485470996;3.53244894265206;inf;6.620051957525909;inf;2.6950089470375564;
0.91;3.8471624583298074;inf;4.489113342779366;inf;5.958469209898628;3.673626287785718;inf;6.8248938864484625;inf;2.789347601217206;
0.913;3.963687665522126;inf;4.585560701817002;inf;6.181166296975413;3.7879982268450463;inf;6.989440052585892;inf;2.865785923841888;
0.916;4.0882572511834665;inf;4.689190384616075;inf;6.419639949977562;3.9101995855439178;inf;7.165783459698755;inf;2.947481999960418;
0.92;4.268443652716026;inf;4.836515885678485;inf;6.765722946807046;4.087473974067648;inf;7.422219026077709;inf;3.0659569699421247;
0.923;4.415604025721721;inf;4.957365680066708;inf;7.048651727622196;4.23204028876566;inf;7.63038472712294;inf;3.162611451688347;
0.926;4.575344702234947;inf;5.085834631107721;inf;7.3567485024590225;4.387762201709936;inf;7.855870662016292;inf;3.2666784635971466;
0.93;4.808561049173911;inf;5.274622568387528;inf;7.807253694800004;4.617282414426985;inf;8.18580087073186;inf;3.419979215741448;
0.933;5.000197570092527;inf;5.4278117417322544;inf;8.179491617284114;4.808131478961588;inf;8.459040585292003;inf;3.5475197246302868;
0.936;5.209320730034938;inf;5.595083999838142;inf;8.586306211543262;5.016670747087351;inf;8.760665006590783;inf;3.6868041508495657;
0.94;5.521099757062;inf;5.8430287887236565;inf;9.194035966640385;5.326266673143263;inf;9.204469811324552;inf;3.8935015921185596;
0.943;5.782460229432473;inf;6.050433689549137;inf;9.705480506271154;5.589121858443716;inf;9.582177777630408;inf;4.068935940544583;
0.946;6.072304631938955;inf;6.280093867508479;inf;10.273494492545929;5.88092180531156;inf;10.002119709222061;inf;4.263644868989291;
0.95;6.516999660494018;inf;6.630704934159993;inf;11.148266957725722;6.324984990853767;inf;10.637775618949147;inf;4.559987062423109;
0.953;6.9050785289673;inf;6.936078756373188;inf;11.913228505251066;6.707974817846229;inf;11.185345535241282;inf;4.815467649853563;
0.956;7.344790388256063;inf;7.282406704614418;inf;12.781812093778898;7.145049372117282;inf;11.81317310621876;inf;5.107054671821769;
0.96;8.043362917732466;inf;7.825619177611478;inf;14.16409087710375;7.831978760369027;inf;12.795406122627803;inf;5.565462361314668;
0.97;10.633029145007482;inf;9.839416792546574;inf;19.308363256627107;10.338722763360686;inf;16.378643288511853;inf;7.237648984593463;
0.973;11.772907391797748;inf;10.716902177904721;inf;21.57703525199316;11.449678685224649;inf;17.966770083613866;inf;7.978708513203674;
0.976;13.174373841622735;inf;11.801606112989646;inf;24.366843219914873;12.832807528207827;inf;19.944037290352686;inf;8.900728388776733;
0.98;15.71936389974094;inf;13.765016714972239;inf;29.445892309408997;15.238594542827927;inf;23.381197017150775;inf;10.504671387378712;
0.983;18.495165969315313;inf;15.90681322536607;inf;34.99091318632968;17.914676866402576;inf;27.1946671733588;inf;12.289686141507083;
0.986;22.377048032780767;inf;18.908615257780237;inf;42.74875599470359;21.895614104742933;inf;32.888502931004325;inf;14.945265003693411;
