E[s] 3.0666666666666664, E[service] 0.8999999999999999, dist [(1, 5.0, 0.3333333333333333), (2, 2.0, 0.3333333333333333), (4, 0.5, 0.3333333333333333)], num_jobs 1000000, num_servers 4
rho,E[T_Q^MG1],ServerFilling min,ServerFilling median,ServerFilling max,FCFS min,FCFS median,FCFS max,PreemptiveFirstFit min,PreemptiveFirstFit median,PreemptiveFirstFit max,MaxWeight min,MaxWeight median,MaxWeight max,LeastServersFirst min,LeastServersFirst median,LeastServersFirst max,MostServersFirst min,MostServersFirst median,MostServersFirst max,PreemptiveBestFit min,PreemptiveBestFit median,PreemptiveBestFit max,
0.7,4.12391304347826,5.645531044408945,5.693611877099951,5.758355412722302,5.9468103758238495,5.992120924229334,6.082320687634238,4.685837624922592,4.728642585720878,4.777477473785248,3.3693345877959335,3.3939121572198205,3.4362233783990592,3.6686178472210345,3.695980395239015,3.7590105018867366,9.63199009701666,9.66837957541044,9.949664584377416,4.739218420164986,4.781660866134676,4.831436742348527,
0.72,4.54472049689441,6.094682244829111,6.138374926266972,6.220471226408378,6.58566306030764,6.634329393069858,6.757303615161786,5.069208004920021,5.108366474017071,5.173938674761306,3.636648657325017,3.657859991626092,3.709792464879947,4.096750033645605,4.136679249546475,4.225644524379048,10.917981651668953,11.01242872388129,11.312234806238711,5.130123261973205,5.169943202725633,5.23734525866078,
0.74,5.030267558528428,6.6086465727546715,6.647444701170078,6.751520647207929,7.352848922021087,7.409523084400128,7.570656870695441,5.515473519252721,5.549609231427866,5.636398177381821,3.9445355865046707,3.9665186738817106,4.032907066025507,4.63931733379165,4.716536048902647,4.865579202489718,12.526629197350434,12.633972694509195,13.021773028757103,5.585787001067119,5.621344646759807,5.709691409241209,
0.76,5.596739130434783,7.2008344084058775,7.236708146792172,7.3760168536169095,8.28389779400716,8.368366880719886,8.608232704124989,6.035642492944339,6.065266824845494,6.187811127522088,4.3027708689283495,4.326341209813049,4.412592721915316,5.3542826762690865,5.48649231318775,5.707983932294775,14.450575563221937,14.628623545932278,15.21767553929414,6.118127170668231,6.150409780460921,6.27175310137488,
0.78,6.26620553359684,7.891510565528706,7.932605284535275,8.108594759198104,9.435626343474587,9.592156245304219,9.96514816083952,6.65147239528618,6.683343443905051,6.840275083476658,4.722653750154866,4.753040335192526,4.861453570157622,6.388945424343697,6.553705652481594,6.892273521363384,16.839265225026317,17.152264231431666,18.100163965542826,6.747607408960461,6.781793841228112,6.937991804871752,
0.8,7.069565217391307,8.706165602605976,8.760624437354567,8.99205022643843,10.909340609480461,11.187016774725597,11.702093369151775,7.384218425713515,7.427842002798041,7.65871099383949,5.217441883151827,5.266247288977763,5.4190075945582565,7.8873073895150005,8.174917054112218,8.670686127914474,19.834117339697613,20.359006224804617,21.9701472669692,7.493826255298927,7.541884802929182,7.768497013563527,
0.82,8.051449275362316,9.676371075800482,9.77748301847016,10.124282000754578,12.935934278633747,13.297636058418739,14.037198122797717,8.26704485501068,8.353527369765352,8.70465656624556,5.823875925658072,5.898074588102841,6.130933633781737,10.261539093450896,10.962850784786573,11.645732888355735,23.83934070584135,24.841019789335103,27.038697771007218,8.39187972469904,8.484328850882147,8.833749795032443,
0.84,9.278804347826085,10.877056755907718,11.054396331551155,11.526770366650842,15.865570274255234,16.32975479114198,17.36427193817031,9.372076481608383,9.534791249657088,10.013759124240103,6.570867311727836,6.697865127330052,7.013478659819519,14.868845656650965,16.55596260904445,18.15861012797568,29.11571198156081,30.747176355293362,33.46530351521953,9.516589134333243,9.685079160435283,10.163652599633869,
0.86,10.856832298136645,12.41058614993015,12.651608123855208,13.298536469451562,20.066603014984892,21.105497945457365,22.450955893422293,10.803804947172354,11.031838912950334,11.68805093778363,7.5408134484107885,7.705447847680757,8.134376165686454,26.94646749215765,32.81818538477965,38.54252772421962,36.76075536517562,38.30567776563153,42.165483933619214,10.970172694812993,11.202911518221903,11.860455892321108,
0.88,12.960869565217394,14.499806670306269,14.761662249636467,15.666367530855076,27.049286803235987,29.49086891490908,31.773296493751126,12.779438289718923,13.027853243716258,13.957430758840532,8.866512858097828,9.033416357070893,9.647165886334632,137.32257068972416,379.5290925540911,789.9301636545999,48.11619110664247,49.80317455867143,55.160261206692475,12.975462461468872,13.22601560053313,14.153566372917055,
0.9,15.90652173913044,17.273725766172674,17.760795170023048,18.923109983845084,41.21638297646145,47.05399828395213,53.59312137571273,15.485862224039321,15.912353963863392,17.097020721335088,10.643463296922933,10.928532830565006,11.699952839473706,inf,inf,inf,64.29501574935512,68.63704903485454,74.50799285145247,15.70364060055244,16.141178538235263,17.32851911916512,
0.91,17.87028985507247,19.050389182475943,19.779914757430184,21.049626203322806,55.75378308888036,66.20238856038041,76.94771002852256,17.20337031125137,17.881754637670788,19.16710231575157,11.766355167813703,12.203288036676245,13.05048673317228,inf,inf,inf,75.19757503532998,82.26776886490474,88.2436509210363,17.435496230173428,18.130509766969865,19.413456187533896,
0.92,20.32500000000001,21.26118401070775,22.326099799598722,23.767176416842624,82.79569705899561,105.0736603199582,136.37661899488586,19.358835480355793,20.372604762429194,21.82397081048236,13.164530340708563,13.812489949300398,14.783724507344688,inf,inf,inf,89.92782305180734,100.26710094964936,109.38394857584294,19.607551091712313,20.638723357917467,22.08620455290177,
0.93,23.48105590062114,24.035985511059277,25.602291908291303,27.36687578829542,148.7966127554093,325.1207207422845,581.8296839949021,22.06912152008519,23.577869438952813,25.35398150509603,14.903337150819736,15.881774078031757,17.057074459807286,inf,inf,inf,110.11336075747835,125.18606337124898,140.66398491116564,22.335897036445445,23.86993197217772,25.63589466360842,
0.94,27.689130434782584,27.700572903344288,29.88754644645236,32.26341769485627,1513.351072801886,inf,inf,25.658826982236217,27.79655821162387,30.170916389322645,17.219960482135246,18.588773526366175,20.15580674438214,inf,inf,inf,138.70748549381796,159.5301630929148,181.19570299816266,25.94344605023509,28.109495934844105,30.474656669333594,
