rho;ServerFilling;MaxWeight;ServerFillingSRPT;GreedySRPT
0.84;3.276736417;4.676055623;0.8486694754;0.300132878
0.86;3.887914728;5.29500596;0.8820944952;0.3201079941
0.88;4.718630543;6.12644913;0.9223101551;0.3452493021
0.9;5.882706987;7.289971125;0.9725634559;0.3778099216
0.92;7.625803463;9.031261907;1.039050347;0.4223316609
0.94;10.53955883;11.95866115;1.133976086;0.4900359722
0.95;12.83944916;14.27350127;1.20084093;0.5407043723
0.96;16.35378632;17.80693831;1.291784222;0.6142587072
0.97;22.42662649;23.85215434;1.430603181;0.7366948745
0.98;35.12404591;36.54412058;1.681208416;0.9765305659
0.985;48.65937914;50.13911831;1.918025565;1.216646329
0.99;80.43523408;81.97143539;2.409315402;1.708768862
0.993;;;3.008499145;2.341974093
0.996;;;4.512065938;3.649995945
0.997;;;5.342006603;4.358820004
0.998;;;6.364441833;5.227935111
0.999;;;7.901833066;6.466819686
