num_jobs 5000000 seed 0
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.858823113166448;4.639193764173919;
0.7;15.933694722866258;5.284159939502144;
0.75;16.744646225028198;5.72980604794824;
0.8;17.86966192992215;6.310349643121553;
0.83;18.79376685417947;6.756159076208955;
0.86;20.054007319894218;7.30764348711617;
0.9;22.64778497811682;8.34142007892079;
0.92;24.800818330238997;9.089319524949595;
0.94;28.98959318555409;10.070335715679716;
0.96;48.48760545347748;11.519020151773683;
0.98;268.9808832180382;14.319189940302826;
0.99;550.9552247365039;18.034833160931154;
num_jobs 5000000 seed 1
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.770885415056044;4.614026518929371;
0.7;15.82713113663237;5.255453048234995;
0.75;16.621303116034923;5.690765434558148;
0.8;17.708280678293498;6.254198638252105;
0.83;18.587297075931026;6.684228036002023;
0.86;19.770005587734225;7.22333735965322;
0.9;22.294724938786405;8.212861792707319;
0.92;24.453596541416196;8.915836498148218;
0.94;28.601871438645492;9.863857404528213;
0.96;42.7998425005465;11.326955322671914;
0.98;232.44205058165412;14.185584443103018;
0.99;500.4520073991899;17.367114741695378;
num_jobs 5000000 seed 2
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.7945919539343;4.63099381445153;
0.7;15.84992944732134;5.277096762356052;
0.75;16.637790364104433;5.709308847556676;
0.8;17.73087853887755;6.275775017706905;
0.83;18.621927298678887;6.707571961402189;
0.86;19.830613462478237;7.24734738551214;
0.9;22.329585939857633;8.242436409850647;
0.92;24.499996095934655;8.94241654748358;
0.94;28.570586886725618;9.873648845850267;
0.96;47.85159378216298;11.253801268972895;
0.98;249.70487907594628;13.978681827367849;
0.99;516.0415878359292;17.13373998962489;
num_jobs 5000000 seed 3
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.70337728920542;4.58699705633701;
0.7;15.731675872807568;5.219668207926164;
0.75;16.496888965259696;5.647788470220421;
0.8;17.566318898652135;6.1968822098930465;
0.83;18.43147355531964;6.618329343183943;
0.86;19.588688515556004;7.141173183778414;
0.9;21.984038328498755;8.09639039637921;
0.92;23.998138895791424;8.78639819977816;
0.94;27.56327460470014;9.686114850891018;
0.96;38.37166210340194;11.047244602694843;
0.98;223.4161346783319;13.57710249909223;
0.99;490.82534822542164;15.978916912925941;
num_jobs 5000000 seed 4
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.750190427273255;4.605623298279335;
0.7;15.792166191411994;5.246441826527306;
0.75;16.567274062808128;5.678888345384493;
0.8;17.645946228233544;6.238875601221745;
0.83;18.51626382068481;6.665327595262937;
0.86;19.676364139644196;7.192710020980454;
0.9;22.07860410754262;8.160800602444333;
0.92;24.022535620473644;8.836873938234517;
0.94;27.277667523843725;9.750788580788187;
0.96;37.897399219338496;11.059212696672379;
0.98;215.1756358859376;13.253154370918983;
0.99;473.6304910865876;15.140478740459436;
num_jobs 5000000 seed 5
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.848086891561618;4.6482069668530634;
0.7;15.923702065489403;5.298665435514266;
0.75;16.73205221158698;5.744084243464824;
0.8;17.85523200587355;6.32593687056191;
0.83;18.778577543671446;6.768271376003346;
0.86;20.014621732515348;7.329441374947759;
0.9;22.621495703503417;8.349780303633347;
0.92;24.852566068947894;9.05852420594824;
0.94;29.052662518435604;10.04579773317912;
0.96;54.09290469178261;11.507030475249971;
0.98;280.2386725570799;14.26841180271136;
0.99;557.9522275418717;17.911731972143055;
num_jobs 5000000 seed 6
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.758402926888182;4.611501509505204;
0.7;15.801384407352886;5.246902442524059;
0.75;16.5813789436556;5.677710656740097;
0.8;17.660517743605848;6.237646727587392;
0.83;18.542554628250535;6.669487164596585;
0.86;19.739640938238733;7.203273175464764;
0.9;22.226844740641074;8.182735182148393;
0.92;24.338123097980635;8.882508762735707;
0.94;28.127198973175968;9.833532509105982;
0.96;46.56018634544438;11.277557281455726;
0.98;302.23885606138174;13.867163752186311;
0.99;625.1687658769249;16.738307420842172;
num_jobs 5000000 seed 7
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.809249359888309;4.629992911540261;
0.7;15.866677828916854;5.275110694986509;
0.75;16.65811762416211;5.714213436824057;
0.8;17.75878747986636;6.284275088609004;
0.83;18.657350457155296;6.719699410315544;
0.86;19.84597157733053;7.256678411333227;
0.9;22.351141826864144;8.247753914075343;
0.92;24.437363398867426;8.938984640777823;
0.94;28.22065230647213;9.870526091858945;
0.96;46.4140190023913;11.251908937522607;
0.98;274.10968228884036;13.68035976196402;
0.99;578.3068293209409;16.13781205475817;
num_jobs 5000000 seed 8
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.823031429428962;4.637622215302161;
0.7;15.889074789799551;5.28292834958509;
0.75;16.678831726296327;5.723737518685345;
0.8;17.782868772986234;6.2946652466844615;
0.83;18.698600198347332;6.733658122636995;
0.86;19.91042810263335;7.275651403751062;
0.9;22.488106885506152;8.276423234297594;
0.92;24.730146913975297;8.989672165089821;
0.94;28.771462474803084;9.989218276048314;
0.96;46.31162389148025;11.486071354275118;
0.98;261.9931815111226;14.21529198813324;
0.99;535.8399246521899;17.738910270234694;
num_jobs 5000000 seed 9
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.731318904591587;4.591648939353707;
0.7;15.766167010850038;5.223763113072642;
0.75;16.535510245215107;5.6518129465855935;
0.8;17.604839122107556;6.205328152627354;
0.83;18.472558325263012;6.626998643795585;
0.86;19.64154534063044;7.148784935242754;
0.9;22.020396008784395;8.120380475192011;
0.92;23.954333382531093;8.798208905047963;
0.94;27.568079602045554;9.709024581088018;
0.96;39.894742203258076;10.978721212313719;
0.98;186.904946823878;13.368905992699773;
0.99;420.79838043345717;16.011779926235373;
num_jobs 5000000 seed 10
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.778527456507579;4.618090376064662;
0.7;15.830950558689326;5.25793712108422;
0.75;16.625397798765757;5.691812880649021;
0.8;17.725888162713517;6.25905385010373;
0.83;18.626936232164006;6.699811023957144;
0.86;19.821492711621534;7.247989601418136;
0.9;22.368624774788696;8.23882566796403;
0.92;24.533096829101186;8.931712405737754;
0.94;28.45389306395184;9.895862901437912;
0.96;44.73383098007913;11.386923815383707;
0.98;264.9074652487043;14.073520661265423;
0.99;555.5493414815809;16.904385234455738;
num_jobs 5000000 seed 11
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.724839066771828;4.595272087608095;
0.7;15.7598335929624;5.228620587899791;
0.75;16.5292617037786;5.660124467016917;
0.8;17.59865554244016;6.2152489165867095;
0.83;18.48011898736061;6.639749706499056;
0.86;19.638552622603438;7.1641263490934355;
0.9;22.013615202766456;8.136694651831323;
0.92;23.963342408940285;8.791777517638339;
0.94;27.582804576586444;9.695752720686064;
0.96;38.682727854444074;11.013357359981253;
0.98;178.19359494793994;13.488047770076793;
0.99;413.05347788773213;15.906439885499775;
num_jobs 5000000 seed 12
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.719681096098206;4.5991100400167575;
0.7;15.756593076428764;5.231927472206447;
0.75;16.523599327226574;5.662043444434382;
0.8;17.59144784311173;6.222219254807784;
0.83;18.46172360286938;6.643462355459759;
0.86;19.593334200481937;7.1671242158811985;
0.9;21.95373650270638;8.118209688115474;
0.92;23.975838179841872;8.784277316729238;
0.94;27.497277076067363;9.657295861874443;
0.96;39.14976769773593;10.956608025596946;
0.98;231.84511206449605;13.484752148920924;
0.99;485.33391542033223;15.843650968602532;
num_jobs 5000000 seed 13
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.832090519745815;4.640938584519712;
0.7;15.89815836431237;5.286722547704102;
0.75;16.69312598603813;5.7285233295005815;
0.8;17.795773229912356;6.302238063218832;
0.83;18.6913281280131;6.743223065070377;
0.86;19.887632560149115;7.285959006380781;
0.9;22.374325515719036;8.286677194536592;
0.92;24.462765752618225;8.981930663542569;
0.94;28.412835492018974;9.914154158560379;
0.96;48.95408807187907;11.280867340994435;
0.98;257.5956405652798;13.914447088068748;
0.99;525.225492931499;17.06400403681341;
num_jobs 5000000 seed 14
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.739106230222985;4.599324952383989;
0.7;15.784465149592691;5.234764348924777;
0.75;16.56473155279714;5.663962642023808;
0.8;17.63241161254742;6.223244883087131;
0.83;18.499688768731218;6.653181227691271;
0.86;19.655340621852027;7.181733886396659;
0.9;22.061050726863595;8.140788251359337;
0.92;24.135046490644726;8.826241981628478;
0.94;27.81853662515769;9.742188092599555;
0.96;38.12357516715147;11.138483645633707;
0.98;198.88569536664116;13.631240444900197;
0.99;465.30948492969463;16.022171412831213;
num_jobs 5000000 seed 15
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.749951058464266;4.608829054033081;
0.7;15.795035897585809;5.246290965468811;
0.75;16.571050595244138;5.677696040786451;
0.8;17.662307974978912;6.2390169319096085;
0.83;18.559571748288857;6.6697265230751706;
0.86;19.762049863701993;7.208945712684486;
0.9;22.278063959058326;8.20940855168313;
0.92;24.367715082918288;8.924020790945551;
0.94;28.351862354019612;9.863402662623466;
0.96;46.32160110559512;11.335628209631109;
0.98;264.40078149507286;14.155287454635175;
0.99;556.0636519818711;17.589941113383613;
num_jobs 5000000 seed 16
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.830529896267414;4.638548905884606;
0.7;15.89282438026276;5.282366047148634;
0.75;16.688937852722084;5.720058359320587;
0.8;17.805831822450042;6.2895074672638245;
0.83;18.72452680500883;6.725399329836419;
0.86;19.95425099648989;7.268581106901637;
0.9;22.5384823339354;8.289458658354086;
0.92;24.712386215796172;9.010708341392869;
0.94;28.860304210370373;10.004083052496526;
0.96;47.047869187527844;11.429421042639111;
0.98;276.5486294987358;14.341494436939273;
0.99;580.5594952217863;17.684122235314696;
num_jobs 5000000 seed 17
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.820095360621371;4.636572124796031;
0.7;15.873842229609346;5.278952768602769;
0.75;16.663814577780695;5.7146988566355645;
0.8;17.760265900605386;6.27937517255632;
0.83;18.661333265685098;6.715409911327973;
0.86;19.853191583743044;7.2491914248631675;
0.9;22.385626397044295;8.240335026467434;
0.92;24.513625483320162;8.929831266321354;
0.94;28.51964756833316;9.853818190077414;
0.96;46.82572867726493;11.284569568270067;
0.98;240.71536263004265;13.903100833810884;
0.99;506.98131390888193;17.083089948380408;
num_jobs 5000000 seed 18
rho;ServerFillingSRPT;GreedySRPT;
0.6;14.850832179198354;4.645076003024359;
0.7;15.923826735702615;5.291765420262657;
0.75;16.730751096785582;5.732009408253973;
0.8;17.846581299466056;6.307601233798554;
0.83;18.76534683437575;6.750609304619071;
0.86;20.001877567481063;7.304489225805381;
0.9;22.608596557502313;8.331281123730847;
